board_id,chip_id,channel_id,detector_id,plane_type,strip_id,pedestal,noise_sigma,gain,polarity,status
0,3,22,1,1,182,-544.21,11.8155,1,1,0
0,3,23,1,1,150,-508.552,12.043,1,1,0
0,3,24,1,1,238,-644.181,13.9662,1,1,0
0,3,25,1,1,206,-580.869,12.8494,1,1,0
0,3,26,1,1,174,-533.497,11.7389,1,1,0
0,3,27,1,1,142,-499.214,12.2942,1,1,0
0,3,28,1,1,230,-639.084,13.4645,1,1,0
0,3,29,1,1,198,-580.761,12.5315,1,1,0
0,3,30,1,1,166,-535.876,11.6675,1,1,0
0,3,31,1,1,134,-509.945,12.496,1,1,0
0,3,32,1,1,253,-663.025,14.8883,1,1,0
0,3,33,1,1,221,-606.433,13.9201,1,1,0
0,3,34,1,1,189,-536.9,13.3327,1,1,0
0,3,35,1,1,157,-509.528,12.7609,1,1,0
0,3,36,1,1,245,-670.185,14.2026,1,1,0
0,3,37,1,1,213,-594.223,13.1292,1,1,0
0,3,38,1,1,181,-541.003,13.1228,1,1,0
0,3,39,1,1,149,-513.454,13.0332,1,1,0
0,3,40,1,1,237,-641.751,15.3189,1,1,0
0,3,41,1,1,205,-568.765,13.0763,1,1,0
0,3,42,1,1,173,-530.164,13.2367,1,1,0
0,3,43,1,1,141,-505.84,12.9878,1,1,0
0,3,44,1,1,229,-639.136,15.5686,1,1,0
0,3,45,1,1,197,-560.861,14.13,1,1,0
0,3,46,1,1,165,-532.8,12.2924,1,1,0
0,3,47,1,1,133,-501.349,13.6377,1,1,0
0,3,48,1,1,252,-664.268,14.5748,1,1,0
0,3,49,1,1,220,-599.246,12.8958,1,1,0
0,3,50,1,1,188,-542.669,12.2549,1,1,0
0,3,51,1,1,156,-507.285,12.0183,1,1,0
0,3,52,1,1,244,-662.854,13.2341,1,1,0
0,3,53,1,1,212,-600.658,12.5704,1,1,0
0,3,54,1,1,180,-539.217,11.8031,1,1,0
0,3,55,1,1,148,-506.955,11.8916,1,1,0
0,3,56,1,1,236,-635.21,14.0758,1,1,0
0,3,57,1,1,204,-579.319,12.5298,1,1,0
0,3,58,1,1,172,-534.153,12.0735,1,1,0
0,3,59,1,1,140,-502.383,12.2872,1,1,0
0,3,60,1,1,228,-613.778,12.9714,1,1,0
0,3,61,1,1,196,-572.554,12.4732,1,1,0
